--------- beginning of main
04-12 18:20:56.990  6019  6019 W WindowOnBackDispatcher: sendCancelIfRunning: isInProgress=falsecallback=android.view.ViewRootImpl$$ExternalSyntheticLambda17@9ad5d27
04-12 18:20:56.991  6019  6019 D Detox.RNMarker: REACT_BRIDGE_LOADING_START (null)
04-12 18:20:56.992  6019  6019 D Detox.RNMarker: DESTROY_CATALYST_INSTANCE_START (null)
04-12 18:20:56.992  6019  6019 W unknown:ReactNative: Packager connection already open, nooping.
04-12 18:20:56.993  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:56.995  6019  6107 I ExpoModulesCore: ✅ ModuleRegistry was destroyed
04-12 18:20:56.995  6019  6107 I ExpoModulesCore: ✅ AppContext was destroyed
04-12 18:20:56.995  6019  6107 I ExpoModulesCore: ✅ KotlinInteropModuleRegistry was destroyed
04-12 18:20:56.998  6019  6106 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.facebook.react.views.textinput.ReactTextInputManager
04-12 18:20:56.998  6019  6165 D Detox.RNMarker: CREATE_REACT_CONTEXT_START (HermesExecutorDebug)
04-12 18:20:56.998  6019  6165 D Detox.RNMarker: PROCESS_PACKAGES_START (null)
04-12 18:20:56.999  6019  6165 D Detox.RNMarker: CREATE_MODULE_START (FrescoModule)
04-12 18:20:56.999  6019  6165 D Detox.RNMarker: CREATE_MODULE_END (FrescoModule)
04-12 18:20:57.005  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.009  6019  6165 I ExpoModulesCore: ✅ AppContext was initialized
04-12 18:20:57.009  6019  6165 D Detox.RNMarker: PROCESS_PACKAGES_END (null)
04-12 18:20:57.010  6019  6165 D Detox.RNMarker: CREATE_CATALYST_INSTANCE_START (null)
04-12 18:20:57.012  6019  6106 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.facebook.react.views.textinput.ReactTextInputShadowNode
04-12 18:20:57.021  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.021  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.021  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.021  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.021  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.022  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.022  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.022  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.022  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.022  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.022  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.022  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.022  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.022  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.022  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.022  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.022  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.022  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.022  6019  6168 D Detox.RNMarker: CREATE_REACT_CONTEXT_END (null)
04-12 18:20:57.022  6019  6165 D Detox.RNMarker: CREATE_CATALYST_INSTANCE_END (null)
04-12 18:20:57.023  6019  6165 D Detox.RNMarker: PRE_RUN_JS_BUNDLE_START (null)
04-12 18:20:57.023  6019  6169 D Detox.RNMarker: CREATE_MODULE_START (UIManager)
04-12 18:20:57.024  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.facebook.react.views.debuggingoverlay.DebuggingOverlayManager
04-12 18:20:57.024  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.facebook.react.uimanager.LayoutShadowNode
04-12 18:20:57.024  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.facebook.react.views.drawer.ReactDrawerLayoutManager
04-12 18:20:57.025  6019  6168 D Detox.RNMarker: RUN_JS_BUNDLE_START (/.virtual-metro-entry.bundle?platform=android&dev=true&lazy=true&minify=false&app=com.panviravindra.comparez&modulesOnly=false&runModule=true&excludeSource=true&sourcePaths=url-server)
04-12 18:20:57.027  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.facebook.react.views.scroll.ReactHorizontalScrollViewManager
04-12 18:20:57.029  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.facebook.react.views.scroll.ReactHorizontalScrollContainerViewManager
04-12 18:20:57.038  6019  6019 W unknown:ReactNative: Packager connection already open, nooping.
04-12 18:20:57.039  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.facebook.react.views.progressbar.ReactProgressBarViewManager
04-12 18:20:57.039  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.facebook.react.views.progressbar.ProgressBarShadowNode
04-12 18:20:57.040  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.facebook.react.views.scroll.ReactScrollViewManager
04-12 18:20:57.041  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.facebook.react.views.switchview.ReactSwitchManager
04-12 18:20:57.041  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.facebook.react.views.switchview.ReactSwitchShadowNode
04-12 18:20:57.042  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.facebook.react.views.safeareaview.ReactSafeAreaViewManager
04-12 18:20:57.047  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.facebook.react.views.safeareaview.ReactSafeAreaViewShadowNode
04-12 18:20:57.047  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.facebook.react.views.swiperefresh.SwipeRefreshLayoutManager
04-12 18:20:57.048  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.facebook.react.views.text.frescosupport.FrescoBasedReactTextInlineImageViewManager
04-12 18:20:57.048  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.facebook.react.views.text.frescosupport.FrescoBasedReactTextInlineImageShadowNode
04-12 18:20:57.050  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.facebook.react.views.image.ReactImageManager
04-12 18:20:57.050  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.facebook.react.views.modal.ReactModalHostManager
04-12 18:20:57.051  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.facebook.react.views.text.ReactRawTextManager
04-12 18:20:57.054  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.054  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.054  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.054  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.054  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.054  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.facebook.react.views.text.ReactRawTextShadowNode
04-12 18:20:57.055  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.facebook.react.views.text.ReactTextViewManager
04-12 18:20:57.064  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.facebook.react.views.text.ReactTextShadowNode
04-12 18:20:57.064  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.facebook.react.views.view.ReactViewManager
04-12 18:20:57.064  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.facebook.react.views.text.ReactVirtualTextViewManager
04-12 18:20:57.065  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.facebook.react.views.text.ReactVirtualTextShadowNode
04-12 18:20:57.065  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.facebook.react.views.unimplementedview.ReactUnimplementedViewManager
04-12 18:20:57.066  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class expo.modules.kotlin.views.GroupViewManagerWrapper
04-12 18:20:57.071  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.071  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.071  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.071  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.071  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.071  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.071  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.071  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.071  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.071  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.071  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.071  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@b400cf5
04-12 18:20:57.072  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class expo.modules.kotlin.views.SimpleViewManagerWrapper
04-12 18:20:57.075  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.th3rdwave.safeareacontext.SafeAreaProviderManager
04-12 18:20:57.076  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.th3rdwave.safeareacontext.SafeAreaViewManager
04-12 18:20:57.078  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.th3rdwave.safeareacontext.SafeAreaViewShadowNode
04-12 18:20:57.079  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.swmansion.rnscreens.ScreenContainerViewManager
04-12 18:20:57.081  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.swmansion.rnscreens.ScreenViewManager
04-12 18:20:57.082  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.swmansion.rnscreens.ModalScreenViewManager
04-12 18:20:57.084  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.swmansion.rnscreens.ScreenStackViewManager
04-12 18:20:57.085  6019  6169 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.swmansion.rnscreens.ScreenStackHeaderConfigViewManager
